symbol,sma,ema,fib_min,fib_max,rw,eb,total_return,sharpe,total_trades,win_rate,expectancy
BTC/USDT,40,15,0.5,0.786,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.5,0.786,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.5,0.786,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.5,0.786,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.5,0.786,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.5,0.786,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.5,0.786,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.01,0.005,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.01,0.01,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.01,0.015,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.01,0.02,0.0,,2,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.02,0.005,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.02,0.01,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.02,0.015,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.02,0.02,0.0,,2,0.0,-10.0
BTC/USDT,40,15,0.55,0.618,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.03,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.618,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.01,0.005,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.01,0.01,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.01,0.015,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.01,0.02,0.0,,2,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.02,0.005,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.02,0.01,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.02,0.015,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.02,0.02,0.0,,2,0.0,-10.0
BTC/USDT,40,15,0.55,0.7,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.03,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.7,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.01,0.005,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.01,0.01,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.01,0.015,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.01,0.02,0.0,,2,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.02,0.005,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.02,0.01,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.02,0.015,0.0,,1,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.02,0.02,0.0,,2,0.0,-10.0
BTC/USDT,40,15,0.55,0.786,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.03,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.55,0.786,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.01,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.01,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.01,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.01,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.02,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.02,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.02,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.02,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.03,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.618,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.01,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.01,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.01,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.01,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.02,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.02,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.02,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.02,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.03,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.7,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.01,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.01,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.01,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.01,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.02,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.02,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.02,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.02,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.03,0.005,0.0,,0,0.0,0.0
