evaluation_index,first_seen_stage,portfolio_size,portfolio_param_ids,priority_1_param_id,priority_2_param_id,priority_3_param_id,priority_4_param_id,priority_5_param_id,friction_preset,active_pairs,watchlist_size,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,same_symbol_opposite_conflicts,same_pair_duplicate_blocks,stacked_same_side_entries,internal_pair_conflicts,entry_rejections,partial_fill_events,extra_latency_events,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,backtest_start,backtest_end,true_months_window,dynamic_symbol_count,activated_symbol_count,winning_positions,losing_positions,breakeven_positions,position_win_rate,avg_position_pnl,avg_winner_pnl,avg_loser_pnl,profit_factor,avg_holding_days,median_holding_days,best_position_pnl,worst_position_pnl,max_consecutive_position_wins,max_consecutive_position_losses,avg_support_pair_count,cagr,daily_sharpe,daily_sortino,calmar,months_traded,profitable_months,losing_months,monthly_win_rate,best_month_return_pct,worst_month_return_pct,stacking_profit_delta_vs_netted,friction_profit_delta_vs_reference,duplicate_pair_family_count,duplicate_long_symbol_count,duplicate_short_symbol_count,duplicate_long_param_count,duplicate_short_param_count,diversity_penalty,penalized_expectancy,membership_index,ordering_index,membership_param_ids,strict_target_pass
1,three_pair_membership_001,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,280,188,0.5357142857142857,1.05420583612459,295.1776341148852,0.059035526822977046,5295.177634114885,5331.723731961284,151.57939276853085,2.964068911168598,False,3.889309810700816,True,4,7,130,86,0,3,16,57,144,136,95,93,211.44971170515944,83.72792240972116,2023-06-11 00:00,2026-03-31 08:00,34,1,10,92,96,0,0.48936170212765956,1.5700937984834078,13.188836444438682,-9.564534570557065,1.3214758647530218,11.314716312056737,7.5,18.01887018847082,-10.000000000000004,13,10,1.0,0.02065564390714747,0.747793953330212,0.8479681659897529,0.6968678706934612,33,20,13,0.6060606060606061,1.5245874542981541,-1.0855304913832575,-59.84617546130988,0.0,2.0,2.0,2.0,0.0,2.0,0.9,0.15420583612459005,1,1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,False
2,three_pair_membership_001,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,276,187,0.5217391304347826,0.7884835955131239,217.62147236162218,0.043524294472324435,5217.621472361622,5254.167570208021,151.57939276853085,2.9841119100843265,False,5.275385998467938,True,4,7,126,84,0,3,17,56,139,137,93,94,152.8108333290304,64.8106390325877,2023-06-11 00:00,2026-03-31 08:00,34,1,10,89,98,0,0.47593582887700536,1.1637511890995618,12.969889611740584,-9.558150031462183,1.2323281452672903,11.309269162210336,7.666666666666667,18.01887018847082,-10.000000000000004,10,10,1.0,0.015301791158823796,0.5708239701737308,0.6429960541526425,0.512775379070532,33,19,14,0.5757575757575758,1.5504119882798983,-1.100541412187206,-137.40233721457292,0.0,2.0,2.0,2.0,0.0,2.0,0.9,-0.11151640448687616,1,2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,False
12,three_pair_membership_002,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,75,53,0.4533333333333333,-0.0992941645306443,-7.447062339798322,-0.0014894124679596644,4992.552937660202,5133.39825231995,154.00454896047904,3.00005067580485,True,999.0,False,4,17,51,21,0,2,2,12,52,23,36,17,40.55065577294871,-47.99771811274793,2023-06-16 00:00,2026-03-31 08:00,34,1,10,22,31,0,0.41509433962264153,-0.14051061018489192,12.275748211034461,-8.952049128469593,0.9731650470227092,11.540880503144653,7.0,17.883917745221282,-10.000000000000002,8,8,1.0,-0.0005337542660065475,-0.030404652143251533,-0.016743321060229955,-0.017791508333883477,33,5,5,0.15151515151515152,1.5486148564818336,-1.0869732952311084,-362.4708719159934,0.0,1.0,2.0,1.0,0.0,1.0,0.55,-0.6492941645306444,2,6,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
11,three_pair_membership_002,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,75,53,0.4533333333333333,-0.0992941645306443,-7.447062339798322,-0.0014894124679596644,4992.552937660202,5133.39825231995,154.00454896047904,3.00005067580485,True,999.0,False,4,17,51,21,0,1,2,12,52,23,36,17,40.55065577294871,-47.99771811274793,2023-06-16 00:00,2026-03-31 08:00,34,1,10,22,31,0,0.41509433962264153,-0.14051061018489192,12.275748211034461,-8.952049128469593,0.9731650470227092,11.540880503144653,7.0,17.883917745221282,-10.000000000000002,8,8,1.0,-0.0005337542660065475,-0.030404652143251533,-0.016743321060229955,-0.017791508333883477,33,5,5,0.15151515151515152,1.5486148564818336,-1.0869732952311084,-362.4708719159934,0.0,1.0,2.0,1.0,0.0,1.0,0.55,-0.6492941645306444,2,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
170,three_pair_membership_029,3,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,,,baseline,3,10,72,48,0.4722222222222222,0.5456147646370937,39.284263053870745,0.00785685261077415,5039.284263053871,5168.295818792923,155.05922641190682,3.0002002951936597,True,28.79480758263327,False,4,24,66,22,0,1,4,15,51,21,34,14,35.04543858344493,4.2388244704269695,2023-06-16 00:00,2026-03-31 08:00,34,1,10,24,24,0,0.5,0.8184221469556642,10.819144832717706,-9.182300538806379,1.1782608058834136,12.392361111111109,6.666666666666666,17.73473034444742,-10.000000000000002,7,8,1.0,0.002807214631947552,0.20512357465344513,0.12467511105611179,0.09356757401979889,33,6,4,0.18181818181818182,1.116578323607742,-0.8331484589521709,-315.73954652232436,0.0,1.0,2.0,1.0,1.0,1.0,0.6000000000000001,-0.0543852353629064,29,2,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
91,three_pair_membership_016,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,,,baseline,3,10,79,58,0.379746835443038,-1.3103195474052687,-103.51524424501622,-0.020703048849003244,4896.484755754984,5033.035312142813,151.00597005302188,3.000296256390284,True,999.0,False,4,18,45,23,0,1,7,11,55,24,39,19,-13.028569359189964,-90.48667488582456,2023-06-16 00:00,2026-03-31 08:00,34,1,10,21,37,0,0.3620689655172414,-1.784745590431285,10.783501452056973,-8.918074992924616,0.6862877576002733,10.508620689655173,6.083333333333334,17.883917745221282,-10.000000000000002,7,10,1.0,-0.007465547754302748,-0.5050744304387677,-0.2725306036173556,-0.2488270196118798,33,4,6,0.12121212121212122,0.9019943083483861,-1.364408371220116,-458.5390538212113,0.0,1.0,2.0,1.0,0.0,1.0,0.55,-1.8603195474052687,16,1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,False
93,three_pair_membership_016,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,,,baseline,3,10,79,58,0.379746835443038,-1.3346123640061176,-105.43437675648329,-0.021086875351296656,4894.565623243517,5031.116179631346,151.00597005302188,3.001440727295763,True,999.0,False,4,18,46,23,0,1,8,11,55,24,39,19,-13.028569359189964,-92.40580739729093,2023-06-16 00:00,2026-03-31 08:00,34,1,10,21,37,0,0.3620689655172414,-1.8178340820082917,10.692114189606192,-8.918074992924616,0.6804716542038566,10.508620689655173,6.083333333333334,17.883917745221282,-10.000000000000002,7,10,1.0,-0.007604908178227454,-0.5201115155695146,-0.27681363871873643,-0.25337525772429037,33,4,6,0.12121212121212122,0.8619023336825293,-1.3649360462130056,-460.4581863326784,0.0,1.0,2.0,1.0,0.0,1.0,0.55,-1.8846123640061176,16,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,False
254,three_pair_membership_043,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,78,57,0.3974358974358974,-1.6028317670532208,-125.02087783015122,-0.025004175566030244,4874.979122169849,5020.1839344423815,150.748582297756,3.002849781329784,True,999.0,False,4,19,50,25,0,1,3,11,55,23,39,18,-36.789460794923436,-88.23141703522731,2023-06-16 00:00,2026-03-31 08:00,34,1,10,24,33,0,0.42105263157894735,-2.1933487338622943,8.540796757077052,-10.0,0.6211488550601492,9.593567251461987,5.5,17.713661150181416,-10.000000000000002,7,8,1.0,-0.009029218292705643,-0.6258266074859654,-0.3307747408363494,-0.30068831111182454,33,4,6,0.12121212121212122,0.8284361955509079,-1.2645234170596598,-480.0446874063463,0.0,1.0,2.0,1.0,1.0,1.0,0.6000000000000001,-2.2028317670532207,43,2,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
253,three_pair_membership_043,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,,,baseline,3,10,78,57,0.3974358974358974,-1.6028317670532208,-125.02087783015122,-0.025004175566030244,4874.979122169849,5020.1839344423815,150.748582297756,3.002849781329784,True,999.0,False,4,20,49,25,0,1,3,11,55,23,39,18,-36.789460794923436,-88.23141703522731,2023-06-16 00:00,2026-03-31 08:00,34,1,10,24,33,0,0.42105263157894735,-2.1933487338622943,8.540796757077052,-10.0,0.6211488550601492,9.593567251461987,5.5,17.713661150181416,-10.000000000000002,7,8,1.0,-0.009029218292705643,-0.6258266074859654,-0.3307747408363494,-0.30068831111182454,33,4,6,0.12121212121212122,0.8284361955509079,-1.2645234170596598,-480.0446874063463,0.0,1.0,2.0,1.0,1.0,1.0,0.6000000000000001,-2.2028317670532207,43,1,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
300,three_pair_membership_050,3,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,,,baseline,3,10,77,53,0.44155844155844154,0.11692972767249049,9.003589030781768,0.0018007178061563536,5009.003589030782,5154.904453327075,154.81702136194053,3.0032956529779833,True,125.63687567196062,False,4,24,83,23,0,0,9,23,53,24,36,17,20.246005287336672,-11.24241625655158,2023-06-16 00:00,2026-03-31 08:00,34,1,10,24,29,0,0.4528301886792453,0.1698790383166989,10.650343144432947,-8.503608497779505,1.036510216498034,11.990566037735851,7.0,17.73473034444742,-10.000000000000002,7,10,1.0,0.0006446345148656274,0.053578946087883335,0.03109648114486523,0.021464237602662462,33,6,5,0.18181818181818182,1.062838557933965,-0.857594370122372,-346.02022054541334,0.0,2.0,2.0,2.0,1.0,1.0,0.9000000000000001,-0.7830702723275096,50,6,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
112,three_pair_membership_019,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,66,46,0.4393939393939394,-0.26973495746241577,-17.802507192519442,-0.0035605014385038884,4982.197492807481,5109.607906074816,153.4580839401906,3.0033240663680707,True,999.0,False,4,17,70,20,0,0,8,18,45,21,31,15,11.98287067256608,-29.785377865082832,2023-06-16 00:00,2026-03-31 08:00,34,1,10,20,26,0,0.43478260869565216,-0.38701102592427733,10.949762348595396,-9.107605929400945,0.9248197802579022,12.536231884057973,6.333333333333333,17.883917745221282,-10.000000000000002,7,10,1.0,-0.0012768113801320258,-0.08707501476195033,-0.05209616674086937,-0.04251327368997771,33,6,4,0.18181818181818182,0.718252507561834,-1.076645453699565,-372.82631676871455,0.0,1.0,2.0,1.0,0.0,0.0,0.5,-0.7697349574624157,19,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
117,three_pair_membership_020,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,,,baseline,3,10,57,42,0.38596491228070173,-1.6969116193914855,-96.72396230531467,-0.019344792461062934,4903.276037694685,5045.789198708181,151.64674343884508,3.0054117892532957,True,999.0,False,4,22,64,18,0,0,5,16,33,24,24,18,-38.802831769651135,-57.9211305356633,2023-06-16 00:00,2026-03-31 08:00,34,1,10,15,27,0,0.35714285714285715,-2.302951483459868,11.116663149083973,-9.758292945984225,0.6328897898330529,11.82936507936508,6.166666666666667,17.713661150181416,-14.603041155135758,7,10,1.0,-0.006972670891499222,-0.5738354255256586,-0.29548450175852753,-0.23200384441266883,33,4,4,0.12121212121212122,0.8618664063636317,-1.0972604208632775,-451.7477718815098,0.0,1.0,2.0,1.0,0.0,0.0,0.5,-2.1969116193914857,20,3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
118,three_pair_membership_020,3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,57,42,0.38596491228070173,-1.6969116193914855,-96.72396230531467,-0.019344792461062934,4903.276037694685,5045.789198708181,151.64674343884508,3.0054117892532957,True,999.0,False,4,22,65,18,0,0,5,16,33,24,24,18,-38.802831769651135,-57.9211305356633,2023-06-16 00:00,2026-03-31 08:00,34,1,10,15,27,0,0.35714285714285715,-2.302951483459868,11.116663149083973,-9.758292945984225,0.6328897898330529,11.82936507936508,6.166666666666667,17.713661150181416,-14.603041155135758,7,10,1.0,-0.006972670891499222,-0.5738354255256586,-0.29548450175852753,-0.23200384441266883,33,4,4,0.12121212121212122,0.8618664063636317,-1.0972604208632775,-451.7477718815098,0.0,1.0,2.0,1.0,0.0,0.0,0.5,-2.1969116193914857,20,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
29,three_pair_membership_005,3,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,,baseline,3,10,77,54,0.4675324675324675,0.23272168298165985,17.91956958958781,0.0035839139179175616,5017.919569589588,5163.673893515734,155.22254705580144,3.0060486052521953,True,63.61939763645026,False,4,10,64,23,0,1,3,12,53,24,36,18,62.27551107182724,-44.35594148223976,2023-06-16 00:00,2026-03-31 08:00,34,1,10,23,31,0,0.42592592592592593,0.33184388128865644,12.589298888043832,-8.762396930174862,1.0659694643518778,12.898148148148149,7.0,17.883917745221282,-10.000000000000002,8,9,1.0,0.0012822640438274746,0.09007513742465176,0.05458706975216905,0.042656131427385814,33,6,5,0.18181818181818182,1.0228232196070053,-1.079452459742003,-337.1042399866073,0.0,1.0,2.0,1.0,1.0,1.0,0.6000000000000001,-0.36727831701834024,5,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,False
